member_id,full_name,student_id,email,faculty_code,entrance_year,grade,discord_user_id,discord_username,teams,roles,status,email_verified,email_verified_at,merge_target_member_id,approved_by,approved_at,created_at,last_login_at,updated_at,notify_optout
mem_seed_001,メンバー1,022500001,member001@example.com,02,25,B1,discord_001,member001,提案,Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_002,メンバー2,032500002,member002@example.com,03,25,B1,discord_002,member002,"すまい,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_003,メンバー3,042500003,member003@example.com,04,25,B1,discord_003,member003,"PC,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_004,メンバー4,052500004,member004@example.com,05,25,B1,discord_004,member004,"すまい,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_005,メンバー5,062500005,member005@example.com,06,25,B1,discord_005,member005,"キャリア,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_006,メンバー6,072500006,member006@example.com,07,25,B1,discord_006,member006,"すまい,PC,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_007,メンバー7,082500007,member007@example.com,08,25,B1,discord_007,member007,提案,Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_008,メンバー8,092500008,member008@example.com,09,25,B1,discord_008,member008,"すまい,提案",Leader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_009,メンバー9,012500009,member009@example.com,01,25,B1,discord_009,member009,"PC,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_010,メンバー10,022500010,member010@example.com,02,25,B1,discord_010,member010,"すまい,キャリア,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_011,メンバー11,032500011,member011@example.com,03,25,B1,discord_011,member011,提案,SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_012,メンバー12,042500012,member012@example.com,04,25,B1,discord_012,member012,"すまい,PC,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_013,メンバー13,052500013,member013@example.com,05,25,B1,discord_013,member013,提案,SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_014,メンバー14,062500014,member014@example.com,06,25,B1,discord_014,member014,"すまい,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_015,メンバー15,072500015,member015@example.com,07,25,B1,discord_015,member015,"PC,キャリア,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
mem_seed_016,メンバー16,082500016,member016@example.com,08,25,B1,discord_016,member016,"すまい,提案",SubLeader,active,True,2026-03-31T13:45:46.770655+00:00,,seed,2026-03-31T13:45:46.770655+00:00,2026-03-24T13:45:46.770655+00:00,2026-03-30T13:45:46.770655+00:00,2026-03-31T13:45:46.770655+00:00,
